-39	-6	51
41	-8	52
-18	35	42
22	31	44
-17	47	-13
18	48	-14
-33	33	35
38	33	34
-31	50	-10
33	53	-11
-48	13	19
50	15	21
-46	30	14
50	30	14
-36	31	-12
41	32	-12
-47	-8	14
53	-6	15
-5	5	61
9	0	62
-8	15	-11
10	16	-11
-5	49	31
9	51	30
-5	54	-7
8	52	-7
-5	37	-18
8	36	-18
-35	7	3
39	6	2
-4	35	14
8	37	16
-5	-15	42
8	-9	40
-5	-43	25
7	-42	22
-25	-21	-10
29	-20	-10
-21	-16	-21
25	-15	-20
-23	-1	-17
27	1	-18
-7	-79	6
16	-73	9
-6	-80	27
14	-79	28
-15	-68	-5
16	-67	-4
-17	-84	28
24	-81	31
-32	-81	16
37	-80	19
-36	-78	-8
38	-82	-8
-31	-40	-20
34	-39	-20
-42	-23	49
41	-25	53
-23	-60	59
26	-59	62
-43	-46	47
46	-46	50
-56	-34	30
58	-32	34
-44	-61	36
46	-60	39
-7	-56	48
10	-56	44
-8	-25	70
7	-32	68
-11	11	9
15	12	9
-24	4	2
28	5	2
-18	0	0
21	0	0
-11	-18	8
13	-18	8
-42	-19	10
46	-17	10
-53	-21	7
58	-22	7
-40	15	-20
48	15	-17
-56	-34	-2
57	-37	-1
-36	15	-34
44	15	-32
-50	-28	-23
54	-31	-22
-35	-67	-29
38	-67	-30
-28	-73	-38
33	-69	-40
-8	-37	-19
13	-34	-19
-14	-43	-17
18	-43	-18
-22	-59	-22
26	-58	-24
-31	-60	-45
34	-63	-48
-25	-55	-48
26	-56	-49
-10	-49	-46
10	-49	-46
-22	-34	-42
27	-34	-41
2	-39	-20
2	-40	-11
2	-52	-6
2	-67	-15
2	-72	-25
2	-64	-34
2	-55	-35
1	-46	-32
